IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
165.154.17.186,8080,443,true,TPE,Asia Pacific,Taipei,45,3.17
118.193.77.12,34237,2096,true,LAX,North America,Los Angeles,165,2.16
165.154.64.64,8443,443,true,HKG,Asia Pacific,Hong Kong,27,2.04
152.32.190.205,37766,443,true,HKG,Asia Pacific,Hong Kong,25,1.76
107.150.103.52,15622,443,true,LAX,North America,Los Angeles,187,1.44
165.154.36.49,34237,2096,true,LAX,North America,Los Angeles,193,1.41
165.154.182.118,56332,443,true,LAX,North America,Los Angeles,195,1.38
165.154.182.131,34237,2096,true,LAX,North America,Los Angeles,179,1.34
152.32.149.10,34237,2096,true,IAD,North America,Ashburn,240,0.66
152.32.182.199,34237,2096,true,IAD,North America,Ashburn,240,0.43
152.32.149.151,34237,2096,true,IAD,North America,Ashburn,261,0.35
107.150.100.118,8080,443,true,LAX,North America,Los Angeles,171,0.26
118.194.229.51,11534,80,false,LAX,North America,Los Angeles,189,0.16
101.36.111.171,34237,2096,true,HKG,Asia Pacific,Hong Kong,29,0.10
165.154.41.40,443,443,true,HKG,Asia Pacific,Hong Kong,35,0.07
118.193.37.162,60999,80,false,HKG,Asia Pacific,Hong Kong,27,0.02
101.36.113.25,52080,80,false,NRT,Asia Pacific,Tokyo,31,0.00
101.36.113.25,58081,80,false,NRT,Asia Pacific,Tokyo,29,0.00
152.32.211.127,80,80,false,LAX,North America,Los Angeles,165,0.00
152.32.130.241,80,80,false,LAX,North America,Los Angeles,166,0.00
45.249.244.53,80,80,false,LAX,North America,Los Angeles,200,0.00
152.32.239.228,80,80,false,LAX,North America,Los Angeles,171,0.00
