IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.14.220,2053,2053,true,SIN,Asia Pacific,Singapore,51,0.39
8.222.193.65,2096,2096,true,SIN,Asia Pacific,Singapore,59,0.39
8.217.85.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,23,0.38
47.236.168.17,2083,2083,true,SIN,Asia Pacific,Singapore,56,0.37
47.236.104.11,2095,2095,false,SIN,Asia Pacific,Singapore,57,0.36
47.236.172.71,2052,2052,false,SIN,Asia Pacific,Singapore,61,0.36
47.236.169.15,8880,8880,false,SIN,Asia Pacific,Singapore,67,0.36
47.236.166.131,2086,2086,false,SIN,Asia Pacific,Singapore,58,0.36
47.237.14.220,2095,2095,false,SIN,Asia Pacific,Singapore,54,0.36
8.219.111.147,2082,2082,false,SIN,Asia Pacific,Singapore,61,0.36
47.236.104.11,2052,2052,false,SIN,Asia Pacific,Singapore,59,0.36
47.237.86.185,8880,8880,false,SIN,Asia Pacific,Singapore,55,0.36
8.210.174.156,2082,2082,false,HKG,Asia Pacific,Hong Kong,22,0.36
47.245.118.70,2083,2083,true,SIN,Asia Pacific,Singapore,55,0.35
8.219.153.237,2082,2082,false,NRT,Asia Pacific,Tokyo,142,0.34
47.236.169.164,2095,2095,false,SIN,Asia Pacific,Singapore,107,0.34
8.209.82.43,443,443,true,FRA,Europe,Frankfurt,254,0.33
8.222.134.170,2082,2082,false,SIN,Asia Pacific,Singapore,89,0.33
8.219.111.147,2053,2053,true,SIN,Asia Pacific,Singapore,93,0.32
47.236.97.90,2086,2086,false,SIN,Asia Pacific,Singapore,63,0.32
8.219.87.30,8880,8880,false,SIN,Asia Pacific,Singapore,80,0.32
47.237.100.206,2083,2083,true,SIN,Asia Pacific,Singapore,56,0.32
8.222.237.131,2095,2095,false,SIN,Asia Pacific,Singapore,86,0.31
47.237.95.13,2082,2082,false,SIN,Asia Pacific,Singapore,95,0.31
8.219.107.135,8880,8880,false,SIN,Asia Pacific,Singapore,58,0.30
47.237.94.140,2052,2052,false,SIN,Asia Pacific,Singapore,53,0.30
8.219.126.240,2086,2086,false,SIN,Asia Pacific,Singapore,56,0.30
8.222.193.65,2082,2082,false,SIN,Asia Pacific,Singapore,59,0.30
8.219.98.13,2082,2082,false,SIN,Asia Pacific,Singapore,53,0.30
47.236.97.90,2087,2087,true,SIN,Asia Pacific,Singapore,63,0.30
47.237.81.112,2052,2052,false,SIN,Asia Pacific,Singapore,60,0.30
8.219.194.170,2053,2053,true,SIN,Asia Pacific,Singapore,53,0.29
47.236.180.51,2095,2095,false,SIN,Asia Pacific,Singapore,52,0.27
47.236.125.62,2095,2095,false,NRT,Asia Pacific,Tokyo,165,0.27
47.236.174.206,2082,2082,false,SIN,Asia Pacific,Singapore,55,0.26
47.236.117.48,2086,2086,false,SIN,Asia Pacific,Singapore,101,0.25
8.219.111.175,2096,2096,true,SIN,Asia Pacific,Singapore,59,0.25
47.236.125.62,8880,8880,false,NRT,Asia Pacific,Tokyo,200,0.23
47.245.84.124,2096,2096,true,SIN,Asia Pacific,Singapore,86,0.23
8.222.137.192,2095,2095,false,SIN,Asia Pacific,Singapore,85,0.23
8.219.106.156,2087,2087,true,SIN,Asia Pacific,Singapore,67,0.23
8.211.38.4,443,443,true,FRA,Europe,Frankfurt,253,0.22
8.222.244.192,8880,8880,false,SIN,Asia Pacific,Singapore,56,0.21
8.210.174.156,2052,2052,false,HKG,Asia Pacific,Hong Kong,46,0.20
47.245.86.230,8880,8880,false,SIN,Asia Pacific,Singapore,78,0.20
47.238.255.53,80,443,true,SIN,Asia Pacific,Singapore,52,0.19
47.238.138.232,80,443,true,CGK,Asia Pacific,Jakarta,42,0.17
8.219.198.139,2053,2053,true,SIN,Asia Pacific,Singapore,55,0.16
47.76.249.116,80,443,true,SIN,Asia Pacific,Singapore,29,0.14
47.238.6.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,23,0.13
8.211.32.100,443,443,true,FRA,Europe,Frankfurt,261,0.13
47.254.170.103,443,443,true,FRA,Europe,Frankfurt,253,0.13
47.238.36.250,80,443,true,SIN,Asia Pacific,Singapore,35,0.12
47.76.218.163,443,443,true,HKG,Asia Pacific,Hong Kong,26,0.11
47.91.73.249,443,443,true,FRA,Europe,Frankfurt,252,0.11
47.238.62.215,443,443,true,HKG,Asia Pacific,Hong Kong,21,0.11
47.238.36.145,80,443,true,SIN,Asia Pacific,Singapore,25,0.10
8.209.65.238,443,443,true,FRA,Europe,Frankfurt,248,0.09
47.76.247.16,80,443,true,SIN,Asia Pacific,Singapore,63,0.07
47.76.33.40,8443,8443,true,HKG,Asia Pacific,Hong Kong,59,0.06
47.239.13.168,80,443,true,SIN,Asia Pacific,Singapore,20,0.06
47.236.181.185,8443,443,true,SIN,Asia Pacific,Singapore,52,0.05
47.76.254.36,80,443,true,SIN,Asia Pacific,Singapore,20,0.04
8.219.11.158,2083,2083,true,SIN,Asia Pacific,Singapore,53,0.02
47.250.155.240,80,443,true,SIN,Asia Pacific,Singapore,370,0.01
8.212.41.98,80,80,false,SIN,Asia Pacific,Singapore,41,0.00
8.219.114.201,8080,8080,false,SIN,Asia Pacific,Singapore,53,0.00
8.219.111.147,80,80,false,SIN,Asia Pacific,Singapore,69,0.00
8.210.9.129,8080,8080,false,HKG,Asia Pacific,Hong Kong,24,0.00
47.237.11.182,8080,8080,false,SIN,Asia Pacific,Singapore,57,0.00
47.236.150.13,8080,8080,false,SIN,Asia Pacific,Singapore,52,0.00
47.236.5.223,8080,8080,false,SIN,Asia Pacific,Singapore,60,0.00
8.219.67.133,80,80,false,SIN,Asia Pacific,Singapore,56,0.00
47.254.167.98,443,443,true,FRA,Europe,Frankfurt,258,0.00
8.222.184.198,80,80,false,SIN,Asia Pacific,Singapore,75,0.00
