IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
207.60.50.24,8443,443,true,LAX,North America,Los Angeles,182,2.73
206.119.79.166,34237,2096,true,LAX,North America,Los Angeles,175,1.46
104.167.247.117,40151,443,true,LAX,North America,Los Angeles,178,1.40
23.169.184.179,53763,443,true,LAX,North America,Los Angeles,184,1.35
154.23.244.23,39777,443,true,LAX,North America,Los Angeles,174,1.34
154.23.244.100,56529,443,true,LAX,North America,Los Angeles,175,1.15
23.169.184.155,22582,443,true,LAX,North America,Los Angeles,192,1.13
23.166.168.99,51056,443,true,LAX,North America,Los Angeles,196,1.12
154.23.240.148,15577,443,true,LAX,North America,Los Angeles,179,1.10
38.49.38.194,24440,443,true,LAX,North America,Los Angeles,194,1.07
23.165.40.187,50003,443,true,LAX,North America,Los Angeles,177,1.06
149.88.88.55,24902,443,true,LAX,North America,Los Angeles,169,1.04
23.165.40.176,57321,443,true,LAX,North America,Los Angeles,181,1.03
23.165.40.192,24972,443,true,LAX,North America,Los Angeles,169,1.00
207.60.50.167,46652,443,true,LAX,North America,Los Angeles,174,0.97
45.140.88.163,37258,443,true,LAX,North America,Los Angeles,175,0.94
154.23.207.84,45498,443,true,LAX,North America,Los Angeles,172,0.89
207.60.50.14,8443,443,true,LAX,North America,Los Angeles,182,0.89
45.140.88.163,22593,443,true,LAX,North America,Los Angeles,178,0.89
38.60.89.147,34237,2096,true,LAX,North America,Los Angeles,184,0.63
154.23.247.116,443,443,true,LAX,North America,Los Angeles,171,0.59
104.167.247.176,28619,443,true,LAX,North America,Los Angeles,178,0.57
23.169.184.120,26580,443,true,LAX,North America,Los Angeles,193,0.54
38.55.61.76,30580,443,true,LAX,North America,Los Angeles,177,0.51
23.166.168.67,13117,443,true,LAX,North America,Los Angeles,191,0.37
104.167.247.188,8648,443,true,LAX,North America,Los Angeles,180,0.37
23.166.168.8,42126,443,true,LAX,North America,Los Angeles,187,0.30
38.49.59.64,53324,443,true,LAX,North America,Los Angeles,180,0.23
23.169.184.119,32925,443,true,LAX,North America,Los Angeles,186,0.21
154.39.79.251,10880,443,true,LAX,North America,Los Angeles,176,0.07
38.47.239.93,21196,443,true,LAX,North America,Los Angeles,180,0.06
154.23.241.9,13725,443,true,LAX,North America,Los Angeles,180,0.06
38.181.42.216,7744,80,false,LAX,North America,Los Angeles,180,0.00
154.23.241.5,80,80,false,LAX,North America,Los Angeles,186,0.00
45.91.81.203,8081,443,true,LAX,North America,Los Angeles,171,0.00
38.47.239.164,48348,80,false,LAX,North America,Los Angeles,177,0.00
