IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.200.25.49,2087,443,true,NRT,Asia Pacific,Tokyo,80,5.70
34.154.188.136,443,443,true,FRA,Europe,Frankfurt,242,3.02
35.226.211.129,443,443,true,ORD,North America,Chicago,220,1.82
34.159.115.89,443,443,true,ZRH,Europe,Zurich,206,1.18
34.154.152.98,443,443,true,FRA,Europe,Frankfurt,233,1.14
34.116.189.118,443,443,true,FRA,Europe,Frankfurt,328,1.10
34.154.219.174,443,443,true,FRA,Europe,Frankfurt,237,1.02
34.90.190.204,443,443,true,FRA,Europe,Frankfurt,218,1.02
34.159.182.203,443,443,true,FRA,Europe,Frankfurt,262,0.98
34.154.158.242,443,443,true,FRA,Europe,Frankfurt,228,0.98
34.91.239.5,443,443,true,FRA,Europe,Frankfurt,205,0.97
35.246.219.128,443,443,true,FRA,Europe,Frankfurt,213,0.97
34.154.155.112,443,443,true,FRA,Europe,Frankfurt,225,0.94
34.154.48.11,443,443,true,FRA,Europe,Frankfurt,216,0.93
34.141.72.133,443,443,true,FRA,Europe,Frankfurt,205,0.89
34.65.246.243,443,443,true,FRA,Europe,Frankfurt,222,0.89
34.107.49.198,443,443,true,FRA,Europe,Frankfurt,200,0.86
34.91.244.151,443,443,true,FRA,Europe,Frankfurt,235,0.86
35.204.110.210,443,443,true,FRA,Europe,Frankfurt,234,0.85
34.154.234.37,443,443,true,FRA,Europe,Frankfurt,215,0.84
34.116.174.107,443,443,true,FRA,Europe,Frankfurt,323,0.82
34.154.196.153,443,443,true,FRA,Europe,Frankfurt,220,0.80
34.65.156.156,443,443,true,FRA,Europe,Frankfurt,230,0.79
34.65.122.120,443,443,true,FRA,Europe,Frankfurt,212,0.71
34.34.61.90,443,443,true,FRA,Europe,Frankfurt,273,0.71
34.32.138.134,443,443,true,FRA,Europe,Frankfurt,301,0.70
34.116.239.145,443,443,true,FRA,Europe,Frankfurt,338,0.69
