IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
103.117.101.10,28630,443,true,HKG,Asia Pacific,Hong Kong,23,6.00
154.17.231.71,28238,443,true,LAX,North America,Los Angeles,175,2.06
154.17.230.156,44999,443,true,LAX,North America,Los Angeles,183,1.56
154.17.224.140,35940,443,true,LAX,North America,Los Angeles,179,1.51
154.17.226.204,31380,443,true,LAX,North America,Los Angeles,176,1.41
154.17.27.8,48655,443,true,LAX,North America,Los Angeles,186,1.32
154.21.82.7,50008,443,true,LAX,North America,Los Angeles,177,1.13
154.21.81.59,59265,443,true,LAX,North America,Los Angeles,179,1.03
154.21.90.125,24277,443,true,LAX,North America,Los Angeles,171,1.01
154.17.230.102,50885,443,true,LAX,North America,Los Angeles,171,1.01
65.75.194.18,13888,443,true,SJC,North America,San Jose,195,1.01
154.21.89.148,52937,443,true,LAX,North America,Los Angeles,188,0.89
154.21.81.73,16295,443,true,LAX,North America,Los Angeles,179,0.89
154.17.230.139,443,443,true,LAX,North America,Los Angeles,184,0.87
154.21.91.92,10000,443,true,LAX,North America,Los Angeles,184,0.84
154.21.95.27,8443,443,true,LAX,North America,Los Angeles,184,0.83
154.17.10.111,14515,443,true,LAX,North America,Los Angeles,183,0.83
154.17.229.161,46749,443,true,LAX,North America,Los Angeles,175,0.79
154.17.16.155,38548,443,true,LAX,North America,Los Angeles,182,0.77
154.17.228.15,18478,443,true,LAX,North America,Los Angeles,176,0.72
154.17.17.66,58835,443,true,HKG,Asia Pacific,Hong Kong,174,0.72
154.17.224.30,11946,443,true,LAX,North America,Los Angeles,175,0.71
154.17.225.155,1524,443,true,LAX,North America,Los Angeles,181,0.71
154.21.89.12,12446,443,true,LAX,North America,Los Angeles,170,0.71
154.17.4.180,45956,443,true,LAX,North America,Los Angeles,184,0.46
65.75.193.92,26493,443,true,SJC,North America,San Jose,207,0.36
154.17.4.180,17288,443,true,LAX,North America,Los Angeles,182,0.34
154.17.19.75,26883,443,true,LAX,North America,Los Angeles,176,0.34
154.17.19.203,32826,443,true,LAX,North America,Los Angeles,187,0.32
154.17.4.191,35378,443,true,LAX,North America,Los Angeles,178,0.27
154.17.22.88,30861,443,true,LAX,North America,Los Angeles,170,0.27
154.17.226.32,62096,443,true,LAX,North America,Los Angeles,177,0.24
65.75.195.188,50795,443,true,SJC,North America,San Jose,194,0.19
154.17.29.112,32568,443,true,LAX,North America,Los Angeles,177,0.17
65.75.194.96,23190,443,true,SJC,North America,San Jose,217,0.08
65.75.193.21,37813,443,true,SJC,North America,San Jose,204,0.07
154.21.88.85,14257,443,true,LAX,North America,Los Angeles,179,0.00
154.21.88.85,19865,443,true,LAX,North America,Los Angeles,175,0.00
154.17.27.49,2004,443,true,LAX,North America,Los Angeles,176,0.00
