IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.168.17,8880,8880,false,SIN,Asia Pacific,Singapore,54,1.33
47.237.11.182,2052,2052,false,SIN,Asia Pacific,Singapore,63,1.33
47.236.117.48,8880,8880,false,SIN,Asia Pacific,Singapore,148,1.33
47.236.130.95,2083,2083,true,SIN,Asia Pacific,Singapore,81,1.31
8.219.202.130,2095,2095,false,SIN,Asia Pacific,Singapore,72,1.31
47.236.150.13,2053,2053,true,SIN,Asia Pacific,Singapore,60,1.30
8.219.106.156,8880,8880,false,SIN,Asia Pacific,Singapore,119,1.30
47.237.95.146,2083,2083,true,SIN,Asia Pacific,Singapore,121,1.29
47.236.171.205,2095,2095,false,SIN,Asia Pacific,Singapore,184,1.29
8.219.194.170,2086,2086,false,SIN,Asia Pacific,Singapore,97,1.29
47.236.205.188,2052,2052,false,SIN,Asia Pacific,Singapore,73,1.28
47.236.180.51,2082,2082,false,SIN,Asia Pacific,Singapore,87,1.28
47.237.10.1,8880,8880,false,SIN,Asia Pacific,Singapore,82,1.28
8.219.177.205,2096,2096,true,SIN,Asia Pacific,Singapore,90,1.27
139.84.162.197,443,443,true,SIN,Asia Pacific,Singapore,440,1.25
8.222.136.247,2095,2095,false,SIN,Asia Pacific,Singapore,53,1.22
47.237.86.185,2086,2086,false,SIN,Asia Pacific,Singapore,56,1.22
47.236.150.13,8880,8880,false,SIN,Asia Pacific,Singapore,116,1.21
47.245.84.124,8880,8880,false,SIN,Asia Pacific,Singapore,71,1.21
8.222.191.138,8880,8880,false,SIN,Asia Pacific,Singapore,156,1.21
8.219.200.145,8880,8880,false,SIN,Asia Pacific,Singapore,79,1.20
47.237.8.82,8880,8880,false,SIN,Asia Pacific,Singapore,55,1.20
47.236.169.141,2082,2082,false,SIN,Asia Pacific,Singapore,55,1.19
47.245.118.70,8880,8880,false,SIN,Asia Pacific,Singapore,65,1.19
47.237.95.156,8880,8880,false,SIN,Asia Pacific,Singapore,72,1.18
47.236.5.223,8880,8880,false,SIN,Asia Pacific,Singapore,95,1.17
47.237.81.112,8880,8880,false,SIN,Asia Pacific,Singapore,139,1.16
47.237.11.182,2086,2086,false,SIN,Asia Pacific,Singapore,76,1.15
47.236.80.110,2086,2086,false,SIN,Asia Pacific,Singapore,143,1.14
47.236.170.54,8880,8880,false,SIN,Asia Pacific,Singapore,113,1.10
47.245.102.52,2095,2095,false,SIN,Asia Pacific,Singapore,62,1.09
47.236.121.23,2086,2086,false,SIN,Asia Pacific,Singapore,133,1.08
47.236.180.51,8443,8443,true,SIN,Asia Pacific,Singapore,67,1.08
47.236.171.205,8880,8880,false,SIN,Asia Pacific,Singapore,142,1.07
47.237.95.13,8880,8880,false,SIN,Asia Pacific,Singapore,56,1.07
47.236.172.71,2052,2052,false,SIN,Asia Pacific,Singapore,120,1.06
47.236.169.15,2082,2082,false,SIN,Asia Pacific,Singapore,94,1.06
